BotName Bulent
Time LocX LocY LocZ Health Shoot AltSh EnVis Jump Crouch RotPitch RotYaw Weapon ELocX ELocY ELocZ HVic WVic HTaken WTaken EName
HEALTH_PICKED at 29909 2240.0 -332.0 -113.8
30108 2240.29 -391.96 -74.61 199 0 0 0 0 0 3342 49280 FlakCannon 0.0 0.0 0.0 1 0 1 0 NoName
HEALTH_PICKED at 30354 2240.0 -546.0 -49.6
30356 2240.48 -513.55 -38.13 199 0 0 0 0 0 3599 49062 FlakCannon 0.0 0.0 0.0 1 0 1 0 NoName
30604 2241.83 -630.81 -2.96 199 0 0 0 0 0 1028 50410 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
HEALTH_PICKED at 30702 2236.0 -718.0 -4.0
30815 2255.11 -727.83 26.15 199 0 0 0 0 0 20 51036 FlakCannon 0.0 0.0 0.0 1 0 1 0 NoName
31057 2274.1 -847.5 49.9 199 0 0 0 0 0 0 50662 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
31305 2292.04 -970.38 49.9 199 0 0 0 0 0 0 50662 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
31553 2240.56 -1074.87 49.9 199 0 0 0 0 0 0 50700 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
31802 2235.06 -1192.0 49.9 199 0 0 0 0 0 20 52136 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
32050 2272.03 -1307.77 49.9 199 0 0 0 0 0 20 52878 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
32298 2311.06 -1419.29 49.9 199 0 0 0 0 0 20 51866 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
32549 2311.63 -1537.6 49.9 199 0 0 0 0 0 0 46980 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
32796 2293.46 -1656.71 49.9 199 0 0 0 0 0 64784 44464 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
33046 2291.42 -1767.6 49.9 199 0 0 0 0 0 63499 35732 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
33294 2231.83 -1876.35 49.9 199 0 0 0 0 0 63499 35158 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
33544 2148.46 -1954.06 49.9 199 0 0 0 0 0 63499 32018 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
33792 2026.46 -1936.51 49.9 199 0 0 0 0 0 63499 31102 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
34039 2048.57 -1838.0 49.9 199 0 0 0 0 0 62213 24076 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
34287 2138.74 -1749.02 49.9 199 0 0 0 0 0 62728 26322 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
34534 2152.54 -1733.98 49.9 199 0 0 0 0 0 62728 27990 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
34781 2125.93 -1798.95 49.9 199 0 0 0 0 0 62728 28942 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
35027 2076.9 -1911.02 49.9 199 0 0 0 0 0 62985 26688 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
35276 2056.47 -1941.68 49.9 199 0 0 0 0 0 63242 24160 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
35524 1993.31 -1870.72 49.9 199 0 0 0 0 0 63499 23786 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
35773 1915.71 -1777.67 51.87 199 0 0 0 0 0 64527 23462 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
